cache_size	 cache_line_size	 associativity	 data_size	 kernel_size	time
131072	32	2	50	7	35953
131072	32	2	50	20	272882
131072	32	2	100	3	35803
131072	32	2	100	7	144235
131072	32	2	100	20	1092160
131072	32	2	200	3	145930
131072	32	2	200	7	584819
131072	32	2	200	20	4386290
131072	32	2	300	3	319661
131072	32	2	300	7	1292133
131072	32	2	300	20	9841204
131072	32	2	400	3	575763
131072	32	2	400	7	2319217
131072	32	2	400	20	17532760
131072	32	2	500	3	951756
131072	32	2	500	7	3664405
131072	32	2	500	20	27402630
131072	32	2	600	3	1348681
131072	32	2	600	7	5276449
131072	32	2	600	20	39515121
131072	32	2	700	3	1881229
131072	32	2	700	7	7211058
131072	32	2	700	20	53789452
131072	32	2	800	3	2515385
131072	32	2	800	7	9438194
131072	32	2	800	20	70260810
131072	32	2	900	3	3175848
131072	32	2	900	7	11961221
131072	32	2	900	20	88927264
131072	32	2	1000	3	3932807
131072	32	2	1000	7	14772682
131072	32	2	1000	20	109767296
131072	32	4	50	3	8952
131072	32	4	50	7	35954
131072	32	4	50	20	272881
131072	32	4	100	3	35989
131072	32	4	100	7	144753
131072	32	4	100	20	1092164
131072	32	4	200	3	142202
131072	32	4	200	7	574458
131072	32	4	200	20	4372298
131072	32	4	300	3	319728
131072	32	4	300	7	1292510
131072	32	4	300	20	9839023
131072	32	4	400	3	575608
131072	32	4	400	7	2324626
131072	32	4	400	20	17552533
131072	32	4	500	3	909940
131072	32	4	500	7	3653011
131072	32	4	500	20	27453013
131072	32	4	600	3	1383931
131072	32	4	600	7	5312025
131072	32	4	600	20	39531080
131072	32	4	700	3	1913110
131072	32	4	700	7	7237087
131072	32	4	700	20	53806467
131072	32	4	800	3	2516135
131072	32	4	800	7	9439453
131072	32	4	800	20	70273580
131072	32	4	900	3	3175815
131072	32	4	900	7	11965201
131072	32	4	900	20	88952781
131072	32	4	1000	3	3930655
131072	32	4	1000	7	14772515
131072	32	4	1000	20	109810783
262144	16	2	50	3	9119
262144	16	2	50	7	36117
262144	16	2	50	20	273056
262144	16	2	100	3	35892
262144	16	2	100	7	143876
262144	16	2	100	20	1091600
262144	16	2	200	3	143225
262144	16	2	200	7	575090
262144	16	2	200	20	4366480
262144	16	2	300	3	321468
262144	16	2	300	7	1293516
262144	16	2	300	20	9823239
262144	16	2	400	3	572355
262144	16	2	400	7	2299226
262144	16	2	400	20	17466027
262144	16	2	500	3	892813
262144	16	2	500	7	3593130
262144	16	2	500	20	27313573
262144	16	2	600	3	1287566
262144	16	2	600	7	5174958
262144	16	2	600	20	39403870
262144	16	2	700	3	1749189
262144	16	2	700	7	7041661
262144	16	2	700	20	53490724
262144	16	2	800	3	2497195
262144	16	2	800	7	9375830
262144	16	2	800	20	70045693
262144	16	2	900	3	2914028
262144	16	2	900	7	11702981
262144	16	2	900	20	88644625
262144	16	2	1000	3	3576415
262144	16	2	1000	7	14372184
262144	16	2	1000	20	109874093
262144	16	4	50	3	9107
262144	16	4	50	7	36117
262144	16	4	50	20	273057
262144	16	4	100	3	35887
262144	16	4	100	7	143887
262144	16	4	100	20	1091658
262144	16	4	200	3	143258
262144	16	4	200	7	575114
262144	16	4	200	20	4367362
262144	16	4	300	3	321552
262144	16	4	300	7	1293655
262144	16	4	300	20	9823754
262144	16	4	400	3	572354
262144	16	4	400	7	2299415
262144	16	4	400	20	17466920
262144	16	4	500	3	893014
262144	16	4	500	7	3593740
262144	16	4	500	20	27312280
262144	16	4	600	3	1287541
262144	16	4	600	7	5173573
262144	16	4	600	20	39304915
262144	16	4	700	3	1750109
262144	16	4	700	7	7042766
262144	16	4	700	20	53503237
262144	16	4	800	3	2505485
262144	16	4	800	7	9380233
262144	16	4	800	20	70064173
262144	16	4	900	3	2892801
262144	16	4	900	7	11650812
262144	16	4	900	20	88567285
262144	16	4	1000	3	3576609
262144	16	4	1000	7	14371648
262144	16	4	1000	20	109556959
262144	32	2	50	3	8996
262144	32	2	50	7	35989
262144	32	2	50	20	272923
262144	32	2	100	3	35612
262144	32	2	100	7	143611
262144	32	2	100	20	1091359
262144	32	2	200	3	142214
262144	32	2	200	7	574253
262144	32	2	200	20	4368238
262144	32	2	300	3	319634
262144	32	2	300	7	1291719
262144	32	2	300	20	9822010
262144	32	2	400	3	568598
262144	32	2	400	7	2296432
262144	32	2	400	20	17485416
262144	32	2	500	3	892184
262144	32	2	500	7	3601745
262144	32	2	500	20	27314838
262144	32	2	600	3	1296540
262144	32	2	600	7	5216028
262144	32	2	600	20	39396986
262144	32	2	700	3	1739633
262144	32	2	700	7	7046831
262144	32	2	700	20	53613562
262144	32	2	800	3	2497140
262144	32	2	800	7	9370062
262144	32	2	800	20	70078400
262144	32	2	900	3	2932006
262144	32	2	900	7	11705503
262144	32	2	900	20	88778486
262144	32	2	1000	3	3649366
262144	32	2	1000	7	14625997
262144	32	2	1000	20	109669489
262144	32	4	50	3	8999
262144	32	4	50	7	35985
262144	32	4	50	20	272925
262144	32	4	100	3	35602
262144	32	4	100	7	143623
262144	32	4	100	20	1091453
262144	32	4	200	3	142228
262144	32	4	200	7	574344
262144	32	4	200	20	4371027
262144	32	4	300	3	319718
262144	32	4	300	7	1291886
262144	32	4	300	20	9823214
262144	32	4	400	3	568638
262144	32	4	400	7	2296705
262144	32	4	400	20	17465791
262144	32	4	500	3	897028
262144	32	4	500	7	3613266
262144	32	4	500	20	27329358
262144	32	4	600	3	1278904
262144	32	4	600	7	5168315
262144	32	4	600	20	39359661
262144	32	4	700	3	1740444
262144	32	4	700	7	7053652
262144	32	4	700	20	53647619
262144	32	4	800	3	2501766
262144	32	4	800	7	9374527
262144	32	4	800	20	70093386
262144	32	4	900	3	2915614
262144	32	4	900	7	11754381
262144	32	4	900	20	88931273
262144	32	4	1000	3	3657662
262144	32	4	1000	7	14668388
262144	32	4	1000	20	109787828
